Item,Power Grasp,Pinch Grasp,Scoop,Perceive
oreo_mega_stuf,0.8,0,0,0.8
champion_copper_plus_spark_plug,0,0.65,0.9,0.5
expo_dry_erase_board_eraser,0.8,0.5,0.8,0.75
genuine_joe_plastic_stir_sticks,0.75,0,0,0.9
munchkin_white_hot_duck_bath_toy,0.65,0.3,0.7,0.6
crayola_64_ct,0.6,0.1,0.55,0.9
mommys_helper_outlet_plugs,0.2,0.25,0.75,0.6
sharpie_accent_tank_style_highlighters,0.1,0.2,0.8,0.8
stanley_66_052,0,0,0.8,0.75
safety_works_safety_glasses,0.6,0.2,0.8,0.5
cheezit_big_original,0.1,0,0,0.9
paper_mate_12_count_mirado_black_warrior,0,0,0.8,0.7
feline_greenies_dental_treats,0.4,0.1,0.5,0.9
elmers_washable_no_run_school_glue,0.8,0.4,0.6,0.75
mead_index_cards,0.2,0.2,0.75,0.7
rollodex_mesh_collection_jumbo_pencil_cup,0.8,0,0,0.85
first_years_take_and_toss_straw_cups,0.8,0,0,0.9
highland_6539_self_stick_notes,0.6,0.1,0.8,0.8
mark_twain_huckleberry_finn,0,0,0.75,0.6
kygen_squeakin_eggs_plush_puppies,0.8,0.4,0.85,0.75
kong_sitting_frog_dog_toy,0.5,0,0.75,0.6
kong_air_dog_squeakair_tennis_ball,0.4,0,0.65,0.7
dr_browns_bottle_brush,0.25,0,0.1,0.5
kong_duck_dog_toy,0.8,0,0.8,0.75
laugh_out_loud_joke_book,0,0,0.75,0.5
